,date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
217,2016-08-05,83,69,76.0,0,0,0
218,2016-08-06,87,72,79.5,0.05,0,0
219,2016-08-07,86,70,78.0,0,0,0
220,2016-08-08,86,71,78.5,0,0,0
221,2016-08-09,87,71,79.0,0,0,0
222,2016-08-10,86,75,80.5,0.09,0,0
223,2016-08-11,91,74,82.5,0.15,0,0
224,2016-08-12,93,73,83.0,0.32,0,0
225,2016-08-13,96,81,88.5,0,0,0
226,2016-08-14,94,78,86.0,0.06,0,0
227,2016-08-15,92,77,84.5,0,0,0
228,2016-08-16,87,78,82.5,0.11,0,0
229,2016-08-17,85,77,81.0,0.01,0,0
230,2016-08-18,85,72,78.5,0.03,0,0
231,2016-08-19,88,74,81.0,0.01,0,0
232,2016-08-20,83,70,76.5,0.82,0,0
233,2016-08-21,86,73,79.5,0.31,0,0
234,2016-08-22,79,65,72.0,0,0,0
235,2016-08-23,82,61,71.5,0,0,0
236,2016-08-24,88,68,78.0,0,0,0
237,2016-08-25,86,69,77.5,0.01,0,0
238,2016-08-26,90,75,82.5,0,0,0
239,2016-08-27,89,73,81.0,0,0,0
240,2016-08-28,89,72,80.5,0,0,0
241,2016-08-29,91,74,82.5,0,0,0
242,2016-08-30,86,69,77.5,0,0,0
243,2016-08-31,89,74,81.5,T,0,0
244,2016-09-01,79,69,74.0,0.5,0,0
245,2016-09-02,81,66,73.5,0,0,0
246,2016-09-03,75,66,70.5,0,0,0
247,2016-09-04,80,65,72.5,0,0,0
248,2016-09-05,84,65,74.5,0,0,0
249,2016-09-06,80,71,75.5,T,0,0
250,2016-09-07,85,71,78.0,0,0,0
251,2016-09-08,89,71,80.0,0,0,0
252,2016-09-09,91,75,83.0,0.22,0,0
253,2016-09-10,90,74,82.0,T,0,0
254,2016-09-11,83,67,75.0,0,0,0
255,2016-09-12,78,62,70.0,0,0,0
256,2016-09-13,83,64,73.5,0,0,0
257,2016-09-14,91,67,79.0,0.56,0,0
258,2016-09-15,74,61,67.5,0,0,0
259,2016-09-16,73,61,67.0,0,0,0
260,2016-09-17,77,59,68.0,0,0,0
261,2016-09-18,82,70,76.0,0,0,0
262,2016-09-19,76,69,72.5,0.68,0,0
263,2016-09-20,82,68,75.0,0,0,0
264,2016-09-21,84,68,76.0,0,0,0
265,2016-09-22,86,65,75.5,0,0,0
266,2016-09-23,87,64,75.5,0.01,0,0
267,2016-09-24,71,58,64.5,0.2,0,0
268,2016-09-25,70,54,62.0,0,0,0
269,2016-09-26,74,54,64.0,0,0,0
270,2016-09-27,74,64,69.0,0.22,0,0
271,2016-09-28,69,56,62.5,0,0,0
272,2016-09-29,64,57,60.5,0,0,0
273,2016-09-30,59,56,57.5,0.4,0,0
274,2016-10-01,62,56,59.0,0,0,0
275,2016-10-02,63,57,60.0,0,0,0
276,2016-10-03,72,60,66.0,0,0,0
277,2016-10-04,69,60,64.5,0,0,0
278,2016-10-05,67,53,60.0,0,0,0
279,2016-10-06,73,55,64.0,0,0,0
280,2016-10-07,75,57,66.0,0,0,0
281,2016-10-08,68,58,63.0,0.23,0,0
282,2016-10-09,65,51,58.0,0.55,0,0
283,2016-10-10,64,47,55.5,0,0,0
284,2016-10-11,63,46,54.5,0,0,0
285,2016-10-12,66,53,59.5,0,0,0
286,2016-10-13,67,53,60.0,T,0,0
287,2016-10-14,62,47,54.5,0,0,0
288,2016-10-15,65,45,55.0,0,0,0
289,2016-10-16,69,53,61.0,0,0,0
290,2016-10-17,81,63,72.0,0,0,0
291,2016-10-18,81,67,74.0,0,0,0
292,2016-10-19,85,65,75.0,0,0,0
293,2016-10-20,70,62,66.0,0,0,0
294,2016-10-21,69,57,63.0,1.11,0,0
295,2016-10-22,57,47,52.0,0.29,0,0
296,2016-10-23,61,45,53.0,0,0,0
297,2016-10-24,62,47,54.5,T,0,0
298,2016-10-25,52,43,47.5,0,0,0
299,2016-10-26,51,38,44.5,0,0,0
300,2016-10-27,55,40,47.5,1.41,0,0
301,2016-10-28,51,42,46.5,0,0,0
302,2016-10-29,64,39,51.5,0,0,0
